2026-02-12 22:02:49,747 | INFO | __main__ | import about to start everthing
2026-02-12 22:02:49,747 | INFO | __main__ | imported everthing
2026-02-12 22:02:49,747 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-12 22:02:49,747 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-12 22:02:55,097 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-12 22:02:55,097 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-12 22:02:56,910 | DEBUG | urllib3.util.retry | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2026-02-12 22:02:56,988 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2026-02-12 22:02:57,940 | DEBUG | urllib3.connectionpool | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 400 None
2026-02-12 22:25:15,102 | INFO | __main__ | import about to start everthing
2026-02-12 22:25:15,103 | INFO | __main__ | imported everthing
2026-02-12 22:25:15,104 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-12 22:25:15,105 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-12 22:25:17,163 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-12 22:25:17,163 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-12 22:25:18,984 | DEBUG | urllib3.util.retry | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2026-02-12 22:25:19,000 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2026-02-12 22:25:19,695 | DEBUG | urllib3.connectionpool | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 400 None
2026-02-12 22:26:56,561 | INFO | src.components | import about to start everthing
2026-02-12 22:26:56,577 | INFO | src.components | imported everthing
2026-02-12 22:26:56,577 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-12 22:26:56,577 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-12 22:26:58,475 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-12 22:26:58,476 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-12 22:27:00,352 | DEBUG | urllib3.util.retry | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2026-02-12 22:27:00,370 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2026-02-12 22:27:01,169 | DEBUG | urllib3.connectionpool | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 400 None
2026-02-12 22:28:45,822 | INFO | src.components.ingestion | import about to start everthing
2026-02-12 22:28:45,822 | INFO | src.components.ingestion | imported everthing
2026-02-12 22:28:45,822 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-12 22:28:45,822 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-12 22:28:47,727 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-12 22:28:47,727 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-12 22:28:49,591 | DEBUG | urllib3.util.retry | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2026-02-12 22:28:49,606 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2026-02-12 22:28:50,403 | DEBUG | urllib3.connectionpool | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 400 None
2026-02-13 21:42:34,731 | INFO | src.components.ingestion | import about to start everthing
2026-02-13 21:42:34,731 | INFO | src.components.ingestion | imported everthing
2026-02-13 21:42:34,731 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-13 21:42:34,731 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-13 21:42:40,341 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-13 21:42:40,342 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-13 21:42:42,140 | DEBUG | urllib3.util.retry | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2026-02-13 21:42:42,231 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2026-02-13 21:42:43,170 | DEBUG | urllib3.connectionpool | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 400 None
2026-02-13 21:45:07,174 | INFO | src.components.ingestion | import about to start everthing
2026-02-13 21:45:07,177 | INFO | src.components.ingestion | imported everthing
2026-02-13 21:45:07,180 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-13 21:45:07,181 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-13 21:45:09,239 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-13 21:45:09,239 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-13 21:45:11,170 | DEBUG | urllib3.util.retry | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2026-02-13 21:45:11,191 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2026-02-13 21:45:12,040 | DEBUG | urllib3.connectionpool | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 400 None
2026-02-13 21:55:14,124 | INFO | src.components.ingestion | import about to start everthing
2026-02-13 21:55:14,124 | INFO | src.components.ingestion | imported everthing
2026-02-13 21:55:14,124 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-13 21:55:14,124 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-13 21:55:17,158 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-13 21:55:17,158 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-13 21:55:19,166 | DEBUG | urllib3.util.retry | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2026-02-13 21:55:19,202 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2026-02-13 21:55:20,069 | DEBUG | urllib3.connectionpool | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2026-02-13 21:55:20,075 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): storage.googleapis.com:443
2026-02-13 21:55:21,173 | DEBUG | urllib3.connectionpool | https://storage.googleapis.com:443 "GET /download/storage/v1/b/loan_pred_e2e/o/data%2Fraw_data%2Floan_approval_dataset.csv?alt=media HTTP/1.1" 200 384337
2026-02-13 22:43:44,104 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-13 22:43:44,104 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-13 22:43:48,333 | DEBUG | google.auth._default | Checking '' for explicit credentials as part of auth process...
2026-02-13 22:43:48,333 | DEBUG | google.auth._default | Checking Cloud SDK credentials as part of auth process...
2026-02-13 22:43:50,387 | DEBUG | urllib3.util.retry | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2026-02-13 22:43:50,413 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2026-02-13 22:43:51,303 | DEBUG | urllib3.connectionpool | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2026-02-13 22:43:51,305 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): storage.googleapis.com:443
